class_a,class_b,euclidean_distance,correlation
brown_bread,brown_bread,0.0,1.0
brown_bread,orange_peel,0.9699260592460632,0.9976566450122113
brown_bread,sponge,0.2702825367450714,0.9992573959359458
orange_peel,brown_bread,0.9699260592460632,0.9976566450122113
orange_peel,orange_peel,0.0,0.9999999999999998
orange_peel,sponge,0.7056344151496887,0.9978063933285632
sponge,brown_bread,0.2702825367450714,0.9992573959359459
sponge,orange_peel,0.7056344151496887,0.9978063933285631
sponge,sponge,0.0,0.9999999999999999
