frame,left_opening,right_opening
0,70.00,32.00
1,57.00,31.00
2,57.00,32.00
3,57.00,31.00
4,32.00,32.00
5,32.00,31.00
6,32.40,30.55
7,59.00,31.00
8,59.00,31.00
9,57.00,31.00
10,23.00,26.00
11,20.00,14.00
12,28.00,14.00
13,25.00,19.00
14,36.00,30.00
15,43.00,33.00
16,48.00,35.00
17,51.00,31.00
18,53.00,46.00
19,53.65,45.45
20,54.00,32.00
21,55.00,51.00
22,56.00,51.00
23,58.00,51.70
24,57.00,53.00
25,57.00,64.00
26,59.00,69.00
27,59.00,68.00
28,60.00,70.00
29,60.55,50.00
30,62.00,48.00
31,60.00,50.00
32,61.00,48.00
33,61.00,47.00
34,61.00,47.00
35,61.00,34.00
36,61.00,34.00
37,61.00,35.00
38,63.00,33.00
39,62.00,33.00
40,61.00,33.00
41,61.00,47.00
42,62.00,34.00
43,62.00,34.00
44,62.00,50.00
45,61.00,49.00
46,63.00,51.00
47,63.00,48.00
48,62.00,51.00
49,62.00,51.00
50,63.50,51.00
51,63.00,51.00
52,63.00,50.65
53,63.00,50.00
54,20.00,50.00
55,21.05,51.00
56,64.00,50.00
57,35.00,33.00
58,17.00,19.00
59,23.00,18.00
60,26.00,16.00
61,43.00,22.00
62,49.00,29.70
63,61.00,33.00
64,59.75,35.00
65,63.00,44.00
66,52.00,33.70
67,67.00,36.00
68,67.00,36.00
69,57.00,34.00
70,70.00,46.25
71,65.00,36.00
72,57.00,62.60
73,58.00,63.00
74,57.00,46.00
75,57.00,68.00
76,59.00,71.00
77,77.00,50.00
78,60.00,71.00
79,60.00,70.00
80,59.00,70.60
81,59.00,50.00
82,60.00,71.00
83,61.00,51.00
84,60.00,50.00
85,60.00,50.00
86,61.00,50.00
87,72.70,50.00
88,62.00,50.00
89,62.00,48.00
90,62.00,50.00
91,62.00,51.00
92,61.00,52.00
93,62.00,51.00
94,64.00,51.00
95,62.00,49.00
96,64.00,50.00
97,75.20,33.05
98,63.00,28.00
99,63.00,34.00
100,63.00,50.00
101,64.00,51.00
102,62.00,28.00
103,64.00,34.00
104,64.00,42.00
105,65.00,52.00
106,72.00,53.00
107,61.00,52.00
108,61.00,40.00
109,62.00,52.00
110,73.00,43.00
111,63.00,51.00
112,65.00,43.00
113,62.10,43.00
114,63.00,44.00
115,63.00,41.00
116,33.00,43.55
117,32.00,44.00
118,72.10,52.00
119,76.25,52.00
120,76.60,52.00
121,77.00,51.00
122,73.00,41.00
123,64.00,51.00
124,35.00,40.00
125,31.00,50.00
126,63.00,53.00
127,63.00,41.00
128,72.00,52.00
129,63.00,51.00
130,32.00,40.00
131,31.00,51.00
132,31.00,49.00
133,30.00,50.00
134,33.00,49.75
135,32.00,33.00
136,32.00,34.00
137,32.00,34.00
138,33.00,49.00
139,60.00,50.00
140,21.00,23.00
141,21.00,17.00
142,31.00,16.00
143,24.00,21.00
144,36.00,31.00
145,42.00,33.00
146,47.80,35.00
147,67.00,36.00
148,68.00,37.00
149,61.00,35.00
150,67.00,49.55
151,67.00,50.00
152,54.00,59.00
153,55.00,63.00
154,58.00,66.00
155,57.00,68.15
156,57.00,68.00
157,57.00,66.00
158,59.00,65.00
159,59.00,69.00
160,60.00,49.00
161,60.00,71.00
162,60.00,48.00
163,58.00,47.00
164,59.00,47.00
165,68.00,47.00
166,60.00,49.00
167,61.00,48.00
168,61.00,49.00
169,61.00,49.00
170,60.00,28.00
171,61.50,47.00
172,60.00,46.60
173,60.00,37.00
174,62.00,49.00
175,60.00,49.00
176,59.45,33.00
177,61.00,33.00
178,61.00,33.00
179,61.00,34.00
180,61.00,46.00
181,61.00,46.00
182,58.00,49.00
183,58.00,49.00
184,58.00,47.65
185,59.00,49.00
186,59.00,33.00
187,60.00,49.00
188,59.00,27.00
189,59.95,33.00
190,60.00,33.00
191,60.00,48.00
192,61.00,47.00
193,61.00,48.55
194,61.00,49.00
195,61.00,48.00
196,61.00,48.00
197,61.00,47.00
198,61.00,34.00
199,61.00,47.00
200,61.00,33.00
201,62.00,33.00
202,60.00,33.00
203,60.00,34.00
204,61.00,27.00
205,61.00,46.10
206,61.00,33.00
207,61.00,36.00
208,61.00,49.00
209,61.00,33.00
210,61.00,47.95
211,61.00,27.85
212,61.00,28.00
213,61.00,33.00
214,62.00,40.00
215,61.00,33.00
216,61.00,33.00
217,62.00,33.00
218,35.00,33.00
219,61.00,33.00
220,62.00,40.00
221,63.00,33.00
222,60.00,33.00
223,35.00,33.00
224,22.00,17.00
225,26.00,26.00
226,22.00,20.00
227,20.00,32.00
228,29.00,23.00
229,51.00,29.00
230,53.00,29.00
231,53.00,31.00
232,57.00,47.00
233,41.15,42.00
234,43.00,45.70
235,45.00,49.00
236,47.00,48.35
237,49.00,48.00
238,48.95,49.00
239,49.00,47.00
240,50.70,48.00
241,51.00,45.00
242,51.00,47.00
243,60.00,47.00
244,52.00,61.00
245,54.00,63.00
246,54.00,48.35
247,54.00,60.00
248,52.75,64.00
