frame,left_opening,right_opening
0,61.00,51.00
1,63.00,63.00
2,63.00,64.00
3,63.00,64.00
4,63.00,66.00
5,61.85,65.00
6,63.00,64.00
7,64.00,65.00
8,63.00,65.00
9,63.00,65.00
10,64.00,65.00
11,61.70,64.00
12,63.00,64.40
13,60.00,64.00
14,61.00,63.00
15,62.00,64.00
16,64.00,66.05
17,62.00,65.00
18,64.00,66.00
19,64.00,65.00
20,63.00,65.00
21,62.00,68.00
22,52.00,68.00
23,59.00,66.00
24,58.00,66.00
25,58.00,65.00
26,53.00,66.00
27,60.00,66.00
28,65.00,66.00
29,59.00,67.00
30,54.00,64.00
31,59.00,66.00
32,56.00,65.00
33,56.00,66.00
34,61.00,63.00
35,59.00,65.00
36,54.00,63.00
37,55.00,63.00
38,54.00,64.00
39,53.00,64.00
40,51.00,68.00
41,52.00,65.00
42,52.00,68.00
43,52.00,69.00
44,50.00,70.00
45,56.00,65.00
46,62.00,65.00
47,56.00,59.00
48,51.00,47.00
49,54.00,50.00
50,58.00,60.00
51,63.00,56.00
52,63.00,63.00
53,61.00,59.00
54,62.00,63.00
55,56.00,63.50
56,51.00,62.00
57,61.00,56.00
58,65.00,64.00
59,64.00,56.00
60,63.00,68.00
61,58.00,67.00
62,66.00,66.00
63,58.00,67.00
64,66.00,67.00
65,58.00,66.00
66,63.00,66.00
67,51.00,66.00
68,61.00,65.00
69,56.00,65.00
70,63.00,65.00
71,61.00,64.00
72,61.00,52.00
73,62.00,63.00
74,61.00,65.00
75,56.00,66.00
76,61.00,62.00
77,60.25,64.00
78,58.00,63.00
79,60.00,64.00
80,59.00,65.00
81,60.00,67.85
82,61.00,66.00
83,59.00,66.00
84,62.00,50.00
85,59.00,63.00
86,62.00,52.00
87,60.00,64.00
88,72.00,66.00
89,72.00,69.00
90,71.00,68.00
91,70.00,63.00
92,60.00,61.00
93,68.00,66.00
94,59.00,51.00
95,55.00,65.00
96,60.00,66.00
97,67.00,68.00
98,61.00,68.00
99,61.00,67.00
100,57.00,63.00
101,60.00,68.00
102,54.50,64.65
103,60.60,67.00
104,59.00,52.05
105,57.00,60.00
106,24.00,21.00
107,24.00,27.00
108,20.00,19.00
109,27.00,26.00
110,48.00,37.00
111,54.00,51.00
112,57.00,58.00
113,58.00,60.00
114,57.00,59.00
115,60.10,62.00
116,62.00,62.00
117,63.00,61.00
118,64.00,63.00
119,61.65,63.00
120,64.00,63.00
121,64.00,61.00
122,65.00,64.00
123,64.00,63.00
124,64.00,63.00
125,63.00,64.00
126,51.00,63.00
127,60.30,63.00
128,61.00,64.00
129,61.20,63.00
130,62.00,64.00
131,62.00,62.00
132,58.00,60.00
133,57.00,63.00
134,62.00,61.00
135,57.00,64.00
136,58.00,61.00
137,58.00,63.00
138,58.00,63.00
139,63.00,64.80
140,63.00,61.00
141,59.80,59.00
142,61.00,64.00
143,59.00,64.00
144,65.00,65.00
145,62.00,64.00
146,54.00,63.00
147,55.00,62.00
148,61.00,63.00
149,63.00,62.00
150,66.00,60.00
151,65.00,66.00
152,65.00,64.00
153,60.00,60.00
154,64.00,60.00
155,37.00,43.00
156,19.00,17.00
157,23.00,24.00
158,23.50,24.00
159,23.00,26.00
160,38.00,35.00
161,41.00,41.00
162,52.00,41.00
163,53.00,42.00
164,53.00,43.00
165,53.00,47.00
166,40.00,44.00
167,46.00,43.00
168,51.00,43.00
169,56.00,51.00
170,56.00,51.00
171,53.00,57.00
172,56.00,48.00
173,51.00,48.00
174,51.00,59.00
175,55.00,58.00
176,57.00,55.00
177,50.00,58.00
178,52.00,57.00
179,57.00,59.00
180,58.00,56.00
181,56.00,56.90
182,57.00,60.00
183,57.00,54.00
184,56.00,54.00
185,54.00,53.00
186,58.00,53.00
187,57.00,52.00
188,57.00,54.00
189,57.00,54.00
190,50.00,54.00
191,48.00,55.00
192,58.00,60.00
193,59.00,50.00
194,59.00,50.00
195,60.00,54.00
196,53.00,56.00
197,60.00,58.00
198,60.00,59.00
199,54.00,61.00
200,59.00,60.00
201,61.00,61.00
202,62.00,61.00
203,60.00,58.00
204,60.00,61.00
205,61.00,61.00
206,61.00,61.00
207,62.00,60.00
208,62.00,60.85
209,62.00,61.05
210,63.00,63.00
211,64.00,63.00
212,65.00,63.00
213,64.00,63.00
214,66.00,63.00
215,64.45,64.00
216,64.00,63.00
217,66.00,64.00
218,66.00,64.00
219,65.00,64.00
220,66.00,64.00
221,65.65,64.00
222,67.00,64.00
223,64.00,62.00
224,64.80,64.00
225,64.00,62.00
226,66.00,66.00
227,64.00,61.00
228,65.00,61.00
229,66.00,64.00
230,67.00,64.00
231,65.00,62.00
232,67.10,63.00
233,63.00,63.00
234,66.00,65.00
235,66.00,63.00
236,67.00,66.00
237,65.00,61.00
238,66.00,64.00
239,65.00,58.00
240,65.00,65.00
241,65.00,65.00
242,65.00,65.00
243,66.00,66.00
244,66.00,61.00
245,66.00,61.00
246,66.00,65.00
247,67.00,67.00
248,68.00,66.00
249,68.00,65.00
250,68.00,65.00
251,67.00,65.00
252,66.00,68.00
253,67.00,65.00
254,67.00,65.00
255,67.00,69.00
256,66.05,68.00
257,67.00,67.00
258,67.00,66.95
259,66.00,66.00
260,68.00,67.00
261,69.00,66.00
262,68.00,66.00
263,69.00,68.00
264,69.00,66.00
265,67.00,67.00
266,68.00,65.00
267,66.00,67.00
268,67.00,67.00
269,67.00,68.00
270,70.00,67.00
271,66.00,66.00
272,69.00,68.00
273,64.00,69.00
274,67.00,67.00
275,69.00,66.00
276,68.00,66.00
277,69.00,69.00
278,64.00,69.00
279,63.00,67.00
280,64.00,67.00
281,69.00,68.00
282,64.00,68.00
283,70.00,67.00
284,70.00,66.00
285,67.00,67.00
286,66.00,66.00
287,70.00,68.00
288,64.00,66.00
289,69.00,67.00
290,70.00,63.00
291,70.00,68.00
292,70.00,69.00
293,70.00,68.00
294,72.00,68.00
295,70.00,68.00
296,70.00,67.00
297,67.00,68.00
298,68.00,69.00
299,70.00,67.00
300,69.00,68.00
301,65.00,67.00
302,66.00,65.00
303,66.00,65.00
304,70.00,66.20
305,70.00,68.00
306,70.00,66.00
307,71.00,66.00
308,71.00,65.00
309,71.00,69.00
310,72.00,68.00
311,72.00,68.00
312,72.00,69.00
313,70.00,68.45
314,72.00,69.00
315,71.00,68.00
316,72.00,70.00
317,71.00,67.00
318,70.00,68.00
319,66.00,65.00
320,65.00,64.00
321,69.00,66.00
322,67.00,66.00
323,66.00,62.00
324,31.00,32.00
325,27.00,24.00
326,26.00,27.00
327,17.00,20.00
328,28.00,26.00
329,32.00,37.00
330,42.00,37.00
331,50.00,45.30
332,53.00,48.00
333,50.00,51.00
334,55.00,52.00
335,56.00,55.00
336,57.00,53.00
337,58.00,53.00
338,57.00,54.00
339,58.00,47.00
340,57.00,48.00
341,57.00,48.00
342,57.00,48.00
343,58.80,50.00
344,59.00,48.00
345,59.00,49.00
346,58.00,49.00
347,58.00,60.00
348,58.00,59.10
349,59.00,49.10
350,60.00,62.00
351,60.00,58.00
352,60.00,61.00
353,59.00,61.00
354,56.00,61.00
355,54.00,60.00
356,55.00,53.00
357,59.00,58.00
358,60.00,56.00
359,58.00,54.00
360,58.00,52.00
361,56.00,53.00
362,57.00,53.00
363,58.00,51.00
364,57.00,54.00
365,58.00,56.00
366,58.00,49.00
367,58.00,49.00
368,57.00,52.00
369,58.00,48.00
370,55.00,48.00
371,59.00,49.00
372,51.00,49.00
