frame,left_opening,right_opening
0,52.00,59.00
1,51.00,60.00
2,52.00,66.00
3,52.00,69.00
4,51.00,60.00
5,54.00,60.00
6,51.65,59.00
7,50.00,59.00
8,49.00,58.00
9,52.00,59.00
10,51.00,60.00
11,54.00,58.00
12,52.00,60.00
13,55.00,59.00
14,54.00,60.00
15,54.00,58.00
16,55.00,58.00
17,56.00,58.00
18,56.00,58.00
19,55.00,59.00
20,55.00,59.00
21,57.00,58.00
22,55.00,58.00
23,56.00,57.00
24,54.00,59.00
25,55.00,59.00
26,54.00,58.00
27,54.00,61.00
28,54.00,58.00
29,54.00,60.05
30,54.00,58.00
31,54.00,59.00
32,53.00,60.00
33,55.00,59.00
34,54.00,60.00
35,55.00,61.00
36,56.00,61.00
37,56.00,60.00
38,56.00,60.00
39,54.00,59.00
40,56.00,59.00
41,56.00,61.00
42,55.00,61.00
43,55.00,61.00
44,55.00,59.00
45,55.00,60.00
46,54.00,61.00
47,54.00,60.00
48,54.00,61.00
49,54.00,60.60
50,53.00,59.00
51,53.00,59.00
52,54.00,60.00
53,55.00,59.00
54,55.00,60.00
55,54.00,60.00
56,56.00,60.00
57,55.00,62.00
58,56.00,60.00
59,57.00,61.00
60,56.00,60.00
61,55.00,60.00
62,55.00,61.00
63,57.00,61.00
64,55.00,61.00
65,56.00,61.00
66,56.00,61.00
67,56.00,61.00
68,53.00,68.00
69,54.00,62.05
70,57.00,64.00
71,56.00,63.00
72,57.00,63.00
73,53.00,75.00
74,60.00,40.30
75,59.00,50.00
76,59.00,53.00
77,54.00,36.65
78,57.00,40.00
79,57.00,55.00
80,53.00,60.85
81,52.00,67.00
82,55.00,66.00
83,54.00,68.00
84,57.00,64.00
85,55.00,64.00
86,56.00,64.00
87,58.00,64.00
88,58.00,61.00
89,56.00,63.00
90,55.00,63.00
91,56.00,63.40
92,56.00,62.00
93,56.00,63.00
94,58.00,63.00
95,56.00,61.00
96,59.00,65.00
97,58.00,64.00
98,56.00,63.00
99,57.00,63.00
100,57.00,64.00
101,55.00,64.00
102,55.00,61.00
103,56.00,65.00
104,56.30,61.20
105,55.00,62.00
106,56.00,63.00
107,57.00,63.00
108,56.00,63.00
109,57.00,62.00
110,58.00,62.00
111,59.00,62.00
112,56.00,63.00
113,56.00,63.00
114,54.00,64.00
115,58.00,64.00
116,56.00,61.00
117,57.00,63.00
118,59.00,60.00
119,58.00,62.00
120,58.00,62.00
121,56.00,61.00
122,59.00,61.00
123,58.00,61.00
124,58.00,62.00
125,57.00,60.00
126,59.00,60.00
127,60.00,61.00
128,60.00,59.70
129,60.00,61.00
130,60.00,60.00
131,60.00,60.00
132,56.00,62.05
133,55.00,62.00
134,55.00,62.00
135,56.00,61.00
136,56.00,61.00
137,58.00,63.00
138,58.00,63.00
139,58.00,60.00
140,56.00,61.00
141,55.00,62.00
142,55.00,62.00
143,55.00,58.00
144,58.00,60.00
145,56.00,62.00
146,55.00,63.00
147,53.00,64.00
148,54.00,62.00
149,54.00,49.00
150,37.00,49.35
151,47.00,40.00
152,57.00,38.00
153,59.00,47.00
154,57.00,63.00
155,55.00,63.00
156,55.00,62.00
157,55.00,61.00
158,55.00,61.00
159,52.00,61.00
160,52.00,63.00
161,52.00,61.00
162,52.00,61.00
163,52.00,61.95
164,57.00,60.00
165,54.00,61.00
166,55.00,59.00
167,56.00,60.00
168,56.00,60.00
169,57.00,62.00
170,57.00,61.00
171,58.00,62.00
172,55.00,61.00
173,56.00,61.00
174,54.00,62.00
175,55.00,62.00
176,54.00,62.00
177,53.00,63.00
178,53.00,61.00
179,53.00,61.00
180,54.00,61.00
181,54.00,60.00
182,53.00,61.00
183,56.00,62.00
184,56.00,63.00
185,55.00,62.00
186,55.00,62.00
187,55.00,63.00
188,55.00,64.00
189,55.00,63.00
190,54.00,63.00
191,54.00,62.00
192,59.00,63.00
193,57.00,60.00
194,56.00,63.00
195,59.00,61.00
196,56.00,67.00
197,60.00,61.00
198,58.00,62.00
199,57.00,60.00
200,55.00,58.00
201,54.00,60.00
202,53.00,63.00
203,54.00,63.00
204,56.00,63.00
205,56.00,63.00
206,56.70,60.00
207,54.00,61.00
208,54.00,64.00
209,55.00,64.00
210,56.10,64.00
211,57.00,65.00
212,57.00,61.00
213,59.00,59.00
214,58.00,68.00
215,58.00,59.00
216,52.00,59.00
217,54.00,59.00
218,55.00,58.15
219,57.00,59.00
220,57.00,59.00
221,53.00,58.60
222,53.00,60.00
223,54.00,60.00
224,57.00,63.00
225,57.00,65.00
226,56.00,62.00
227,57.00,69.00
228,42.00,30.00
229,43.00,27.00
230,52.00,43.00
231,58.00,62.00
232,60.00,64.00
233,57.00,60.00
234,53.00,68.00
235,55.00,63.00
236,53.00,67.00
237,55.00,61.00
238,53.00,63.00
239,53.00,61.00
240,55.00,62.00
241,53.00,63.00
242,52.00,62.00
243,51.00,59.00
244,52.00,58.00
245,54.00,61.00
246,53.00,61.00
247,54.00,57.00
248,55.00,67.00
249,52.00,63.00
250,53.00,67.00
251,52.00,63.00
252,52.00,68.00
253,53.00,63.00
254,55.00,62.00
255,52.00,61.00
256,55.00,69.00
257,56.00,62.00
258,55.00,63.00
259,55.00,61.00
260,55.00,61.00
261,53.00,60.00
262,54.00,61.00
263,55.00,61.60
264,54.00,64.00
265,55.00,61.00
266,52.00,62.00
267,55.00,60.00
268,55.00,62.00
269,56.00,62.00
270,56.00,63.00
271,54.00,60.00
272,55.00,60.00
273,56.00,61.00
274,51.00,64.00
275,54.00,63.00
276,54.00,63.00
277,56.00,63.00
278,54.00,62.00
279,56.00,62.00
280,56.00,65.00
281,56.00,64.00
282,57.00,61.00
283,56.00,60.00
284,55.00,63.00
285,57.00,62.00
286,56.00,61.00
287,56.00,63.00
288,54.00,61.00
289,55.00,62.00
290,59.00,63.00
291,57.00,63.00
292,59.00,61.00
293,55.00,64.00
294,58.00,63.00
295,56.00,63.00
296,60.00,63.00
297,58.00,63.00
298,60.00,62.00
299,55.00,63.30
300,57.00,59.20
301,53.00,63.00
302,57.00,64.00
303,59.00,60.00
304,58.00,64.00
305,57.00,64.00
306,58.00,64.30
307,57.00,63.00
308,56.00,64.00
309,56.00,64.00
310,58.00,62.85
311,59.00,64.00
312,55.00,65.00
313,58.00,64.00
314,55.00,65.00
315,58.00,64.00
316,56.00,64.00
317,54.00,64.00
318,58.00,63.00
319,55.00,61.55
320,57.00,62.00
321,57.00,64.00
322,53.00,61.00
323,51.00,35.00
324,35.00,27.00
325,34.00,27.00
326,37.00,43.00
327,31.00,41.00
328,56.00,60.00
329,59.00,50.00
330,57.00,51.00
331,55.00,60.00
332,55.00,58.00
333,51.00,60.00
334,56.00,62.00
335,51.00,60.00
336,55.00,59.00
337,56.00,65.00
338,58.00,62.00
339,56.00,60.00
340,57.00,60.00
341,55.00,63.00
342,56.00,64.00
343,55.00,63.00
344,56.00,62.00
345,56.00,62.00
346,54.00,63.00
347,55.00,62.00
348,58.00,62.00
349,56.00,65.65
350,56.00,64.00
351,59.00,67.00
352,58.00,62.00
353,59.00,60.00
354,58.00,63.00
355,58.00,61.00
356,58.00,63.00
357,59.00,63.00
358,59.00,63.00
359,57.00,64.00
360,58.00,71.00
361,58.00,67.00
362,59.00,65.00
363,58.00,68.00
364,58.00,68.00
365,58.00,67.00
366,57.00,61.00
367,56.00,63.00
368,58.00,62.00
369,57.00,63.00
370,58.00,63.00
371,57.00,61.00
372,55.20,61.00
373,57.00,62.00
374,57.00,64.00
375,57.00,60.00
376,56.00,62.00
377,57.00,60.00
378,57.00,64.00
379,57.00,62.00
380,54.00,62.00
381,54.00,64.00
382,58.00,62.00
383,55.00,62.00
384,58.00,62.00
385,58.00,59.00
386,59.00,61.00
387,55.00,61.00
388,58.00,61.00
389,58.00,61.00
390,59.00,65.00
391,56.00,63.60
392,56.00,65.00
393,56.00,62.00
394,58.00,63.00
395,58.00,64.00
396,54.00,63.00
397,58.00,64.00
398,57.00,64.00
399,58.00,62.00
400,58.00,62.00
401,57.00,63.00
402,56.00,61.00
403,58.00,61.00
404,57.00,61.00
405,56.00,62.00
406,56.00,64.00
407,56.00,62.00
408,55.00,62.00
409,56.00,62.00
410,56.00,62.00
411,54.00,61.00
412,55.00,59.00
413,53.00,59.00
414,55.00,63.00
415,54.00,61.00
416,57.00,64.00
417,55.00,63.00
418,56.00,63.00
419,57.00,62.00
420,58.00,61.00
421,56.00,63.00
422,56.00,61.00
423,57.00,62.00
424,57.00,63.00
425,53.00,62.00
