frame,left_opening,right_opening
0,47.00,48.00
1,48.00,48.00
2,49.00,48.20
3,47.00,49.00
4,48.00,49.00
5,48.00,48.00
6,45.00,48.00
7,23.00,25.80
8,19.00,13.65
9,18.00,14.00
10,9.00,21.00
11,20.00,15.00
12,27.00,29.00
13,35.00,36.00
14,39.00,40.00
15,41.00,44.00
16,42.00,45.00
17,41.00,45.00
18,42.00,47.00
19,37.00,47.00
20,41.00,47.00
21,44.00,47.00
22,39.65,47.00
23,42.00,47.00
24,43.00,47.00
25,44.00,48.00
26,45.00,48.00
27,48.00,48.00
28,46.00,48.00
29,45.35,49.00
30,43.00,49.00
31,48.00,49.00
32,47.00,48.00
33,47.00,48.00
34,27.00,33.00
35,16.00,19.00
36,15.00,16.10
37,10.00,19.00
38,15.00,19.00
39,21.00,29.00
40,28.00,35.00
41,32.00,40.00
42,34.00,40.00
43,37.00,43.00
44,37.00,44.00
45,38.00,45.00
46,39.00,45.00
47,41.00,46.40
48,40.00,46.00
49,42.00,47.00
50,27.00,35.00
51,16.00,18.00
52,18.75,17.00
53,16.00,16.00
54,18.00,15.00
55,23.80,25.00
56,34.00,31.00
57,38.00,38.00
58,40.00,41.00
59,37.00,42.00
60,41.00,45.00
61,41.00,44.00
62,39.00,44.65
63,40.00,46.00
64,44.00,46.00
65,40.00,47.00
66,44.00,47.00
67,45.00,47.00
68,49.00,47.00
69,43.00,47.00
70,44.85,47.00
71,45.25,47.00
72,45.00,48.00
73,43.75,49.00
74,50.00,49.00
75,46.00,50.00
76,46.00,49.55
77,46.00,51.00
78,46.00,51.00
79,46.00,50.00
80,48.00,51.00
81,47.00,50.00
82,50.00,50.00
83,50.00,50.00
84,51.00,50.10
85,50.00,51.00
86,50.00,50.00
87,49.00,51.35
88,50.00,51.80
89,50.00,52.00
90,51.00,51.00
91,50.35,51.00
92,36.30,42.00
93,15.00,21.00
94,17.00,16.00
95,17.00,14.00
96,21.00,26.00
97,31.00,31.00
98,36.00,38.00
99,39.00,41.00
100,41.00,44.00
101,41.00,45.00
102,42.00,46.00
103,43.60,47.00
104,43.10,47.00
105,45.00,47.00
106,45.00,47.00
107,45.00,48.00
108,46.00,47.00
109,45.00,48.00
110,44.00,47.00
111,46.00,48.00
112,45.00,48.00
113,46.00,49.00
114,47.00,49.00
115,45.00,48.00
116,46.00,48.00
117,45.00,47.00
118,47.00,47.00
119,47.45,48.00
120,47.00,48.00
121,48.00,48.00
122,47.00,47.00
123,47.00,47.00
124,48.00,48.00
125,49.00,48.00
126,48.00,48.00
127,50.00,48.00
128,48.00,48.00
129,48.00,47.00
130,48.00,48.00
131,48.00,46.90
132,47.00,46.00
133,49.00,45.00
134,36.00,38.00
135,16.00,18.00
136,19.15,13.35
137,19.00,17.00
138,15.00,10.00
139,24.00,20.00
140,31.00,30.00
141,35.00,36.00
142,36.00,37.00
143,38.00,40.00
144,39.00,41.00
145,40.00,44.00
146,42.00,44.00
147,43.00,45.00
148,44.00,45.00
149,43.00,46.00
150,45.00,47.00
151,46.00,46.50
152,46.00,46.00
153,46.00,46.00
154,45.00,47.00
155,45.00,47.00
156,45.00,47.00
157,46.00,46.00
158,46.65,46.00
159,46.50,46.00
160,45.00,47.00
161,45.00,47.00
162,45.00,47.00
163,46.00,47.20
164,46.00,47.00
165,46.00,47.90
166,45.00,48.00
167,45.00,48.00
168,44.00,49.00
169,47.00,49.00
170,46.05,49.00
171,47.00,50.00
172,48.00,48.00
173,47.00,49.00
174,47.15,48.00
175,48.00,48.00
176,47.00,48.00
177,47.00,48.45
178,47.00,49.00
179,45.00,48.00
180,44.00,48.00
181,47.00,48.00
