frame,left_opening,right_opening
0,52.00,43.00
1,55.00,55.00
2,64.00,62.00
3,65.00,62.00
4,66.00,65.00
5,69.00,65.00
6,65.00,66.00
7,70.00,64.00
8,67.00,63.00
9,67.00,64.00
10,68.00,65.00
11,66.00,64.00
12,66.00,62.00
13,67.05,64.00
14,67.00,62.00
15,69.00,65.00
16,68.00,65.00
17,66.00,65.00
18,70.00,65.00
19,67.00,66.00
20,69.00,65.00
21,70.00,66.00
22,69.00,67.00
23,70.00,66.00
24,71.10,64.00
25,71.00,66.00
26,69.00,66.00
27,72.00,67.00
28,69.00,66.15
29,70.00,67.00
30,68.00,67.00
31,71.00,67.00
32,72.00,67.00
33,69.00,68.00
34,71.00,67.00
35,71.60,68.00
36,71.00,67.15
37,71.00,67.00
38,73.00,66.00
39,72.00,67.00
40,70.00,68.00
41,69.00,67.00
42,72.00,66.00
43,68.00,68.00
44,69.00,67.00
45,69.00,68.00
46,71.00,67.00
47,69.00,67.00
48,69.00,65.00
49,70.00,67.00
50,70.00,66.00
51,69.00,67.00
52,71.00,66.00
53,69.00,67.00
54,69.00,64.00
55,68.00,64.00
56,71.00,64.00
57,71.00,64.00
58,70.00,67.00
59,70.00,67.00
60,70.00,66.00
61,70.00,67.00
62,70.00,67.00
63,69.00,64.00
64,69.00,64.00
65,69.00,67.00
66,69.00,64.00
67,69.00,66.00
68,69.65,67.00
69,69.00,67.00
70,70.00,67.00
71,70.00,66.00
72,70.00,67.00
73,70.00,68.00
74,70.00,67.00
75,70.00,66.00
76,71.00,65.00
77,70.00,67.00
78,69.00,67.00
79,70.00,66.00
80,70.00,66.00
81,71.00,64.00
82,72.00,66.00
83,72.00,65.00
84,67.00,54.00
85,33.00,37.00
86,35.00,42.00
87,29.00,37.00
88,64.00,35.00
89,62.00,40.00
90,60.00,48.00
91,64.00,47.00
92,67.00,58.00
93,70.00,61.00
94,70.00,61.00
95,68.00,62.00
96,68.00,62.00
97,69.00,62.00
98,70.00,61.00
99,68.00,61.00
100,69.00,60.00
101,67.00,62.00
102,66.00,64.00
103,70.00,63.00
104,67.00,62.00
105,70.00,63.00
106,69.00,63.00
107,66.00,64.00
108,66.00,63.00
109,69.00,67.00
110,66.00,64.00
111,66.00,63.00
112,67.00,64.00
113,67.00,64.00
114,68.00,63.00
115,68.00,65.00
116,66.00,64.00
117,68.00,63.00
118,67.00,63.00
119,67.00,63.00
120,69.00,63.00
121,70.00,62.00
122,69.00,64.00
123,70.00,65.00
124,71.00,64.00
125,69.00,62.00
126,70.00,64.00
127,70.00,63.00
128,69.05,63.00
129,69.00,63.00
130,69.85,64.00
131,70.00,62.00
132,70.00,62.00
133,70.00,64.00
134,68.00,63.00
135,69.00,63.00
136,70.00,64.00
137,70.00,63.00
138,70.00,63.00
139,70.00,64.00
140,70.00,63.00
141,69.00,65.00
142,71.00,63.00
143,72.00,67.00
144,71.00,65.00
145,71.00,65.00
146,72.00,67.30
147,73.00,68.00
148,70.00,66.00
149,73.00,69.00
150,73.00,69.00
151,73.00,69.00
152,74.00,69.00
153,73.00,65.00
154,72.00,66.00
155,73.00,68.00
156,74.00,68.00
157,73.00,66.00
158,73.00,65.00
159,71.00,65.00
160,70.00,68.00
161,73.00,69.00
162,71.00,68.00
163,74.00,67.00
164,74.00,67.00
165,75.00,67.00
166,75.00,68.00
167,75.00,69.00
168,75.00,70.00
169,74.55,70.00
170,72.00,66.00
171,74.00,69.00
172,73.00,66.00
173,70.00,65.00
174,70.00,65.00
175,68.00,64.00
176,35.00,58.00
177,40.00,46.00
178,35.00,45.00
179,29.00,36.00
180,35.00,36.00
181,50.00,47.00
182,56.00,52.00
183,57.00,54.80
184,64.00,61.00
185,65.00,61.00
186,68.00,62.00
187,68.00,62.00
188,70.00,63.00
189,69.00,64.00
190,71.00,62.00
191,73.00,63.00
192,66.00,62.00
193,66.00,62.00
194,67.00,62.00
195,70.00,62.00
196,69.00,62.00
197,73.00,63.00
198,71.00,63.00
199,69.00,64.00
200,69.00,64.00
201,70.00,62.00
202,71.00,64.00
203,70.00,64.00
204,71.00,65.00
205,73.00,67.00
206,72.00,65.00
207,72.00,68.00
208,74.00,68.00
209,73.20,67.00
210,74.00,67.00
211,74.00,69.00
212,74.00,65.00
213,75.00,66.00
214,75.00,64.25
215,75.00,66.00
216,75.00,65.00
217,74.00,66.00
218,75.00,65.00
219,74.00,65.00
220,74.00,67.00
221,74.00,65.00
222,75.00,69.00
223,74.00,65.00
224,74.00,65.00
225,74.00,65.00
226,74.00,64.00
227,75.00,67.00
228,74.00,67.00
229,75.00,67.00
230,74.00,64.00
231,76.00,65.00
232,74.00,67.00
233,75.00,64.35
234,75.00,65.00
235,75.00,65.00
236,75.00,65.00
237,74.00,66.00
238,71.00,65.00
239,71.00,66.00
240,71.00,69.00
241,71.00,69.00
242,71.00,66.00
243,71.00,68.00
244,72.00,67.00
245,69.00,67.00
246,70.00,67.00
247,69.00,68.00
248,69.00,66.00
249,71.00,67.00
250,69.00,67.00
251,69.00,66.00
252,69.00,67.00
253,69.00,67.00
254,69.00,66.00
255,69.00,66.00
256,69.00,65.00
257,69.00,65.00
258,69.00,66.00
259,70.00,64.00
260,69.00,62.00
261,69.00,62.35
262,70.00,63.00
263,70.00,64.00
264,69.00,64.00
265,68.00,62.00
266,47.00,39.00
267,34.00,42.00
268,31.00,47.00
269,31.00,37.00
270,44.00,38.00
271,49.00,41.00
272,52.00,46.00
273,58.00,49.00
274,59.00,56.00
275,63.00,59.00
276,64.00,61.00
277,64.00,60.00
278,65.00,60.45
279,64.00,60.00
280,66.00,60.00
281,66.00,60.00
282,65.00,60.80
283,65.00,61.00
284,66.00,61.00
285,66.00,62.00
286,66.00,62.00
287,65.00,63.00
288,66.00,62.00
289,66.00,64.00
290,67.00,63.00
291,68.00,63.00
292,68.00,62.00
293,68.00,63.00
294,68.00,64.00
295,68.00,64.00
296,69.00,62.00
297,68.00,63.00
298,68.00,63.00
299,68.00,63.00
300,68.00,63.00
301,69.00,64.00
302,69.00,63.00
303,68.00,64.00
304,69.00,64.00
305,70.00,63.00
306,68.00,66.00
307,71.00,63.00
308,70.00,66.00
309,72.00,65.00
310,72.00,64.00
311,71.00,64.00
312,69.00,64.00
313,69.00,65.00
314,69.00,65.00
315,71.00,66.00
316,72.00,64.00
317,70.15,65.00
318,70.00,66.00
319,69.00,64.00
320,69.00,63.00
321,70.00,64.00
322,69.00,63.00
323,69.00,64.00
324,69.00,64.00
325,68.00,64.00
326,68.00,64.00
327,69.00,64.00
328,69.00,63.00
329,69.00,65.00
330,70.00,64.00
331,68.00,64.00
332,63.00,58.95
333,32.00,43.00
334,39.00,51.00
335,30.00,41.00
336,34.00,45.00
337,57.00,48.00
338,57.00,51.00
339,60.00,49.00
340,60.00,58.00
341,68.00,57.00
342,66.00,58.00
343,67.00,58.00
344,67.00,59.00
345,66.00,60.00
346,67.00,61.00
