frame,left_opening,right_opening
0,44.00,45.00
1,45.00,45.00
2,44.00,45.00
3,45.00,45.00
4,44.00,45.00
5,45.00,45.00
6,45.00,46.00
7,44.00,45.00
8,45.00,46.00
9,45.00,46.00
10,45.00,45.00
11,45.00,45.00
12,45.00,45.00
13,45.00,45.00
14,45.00,45.00
15,45.00,46.00
16,45.00,46.00
17,45.00,46.00
18,45.00,46.00
19,45.00,45.00
20,45.00,45.00
21,46.00,44.00
22,45.00,45.00
23,45.90,45.00
24,45.00,44.00
25,45.00,44.00
26,44.00,45.00
27,43.15,44.00
28,45.00,44.00
29,45.00,44.25
30,45.00,45.00
31,44.00,44.00
32,36.00,35.00
33,18.00,16.00
34,13.00,15.00
35,15.00,14.00
36,12.00,16.00
37,19.00,18.00
38,23.00,26.65
39,32.00,32.75
40,35.00,35.00
41,37.00,38.00
42,39.00,39.00
43,40.00,41.00
44,41.00,41.00
45,42.00,42.00
46,42.00,42.00
47,42.00,42.00
48,42.00,43.00
49,43.00,43.00
50,44.00,43.00
51,44.00,43.00
52,43.00,42.00
53,44.00,44.00
54,44.00,43.00
55,43.00,44.00
56,42.00,44.00
57,44.00,44.00
58,43.00,44.00
59,41.00,43.00
60,42.00,44.00
61,43.00,43.00
62,44.00,43.00
63,43.00,43.00
64,42.00,43.00
65,42.00,42.90
66,43.00,43.00
67,41.00,43.00
68,42.00,43.10
69,43.00,43.00
70,43.00,43.00
71,42.00,42.00
72,41.00,42.00
73,42.00,42.00
74,43.00,42.00
75,40.00,41.00
76,41.00,42.00
77,42.00,42.00
78,42.00,41.00
79,40.00,41.00
80,42.00,41.00
81,42.00,40.00
82,40.00,40.00
83,41.00,41.00
84,43.00,41.00
85,41.00,41.00
86,41.00,41.00
87,40.00,41.00
88,40.00,41.00
89,41.00,41.00
90,41.00,41.00
91,41.00,42.00
92,41.00,42.00
93,41.00,42.00
94,37.00,39.00
95,18.00,19.00
96,14.00,13.00
97,15.00,14.00
98,11.00,14.00
99,18.00,17.00
100,26.00,26.00
101,32.00,30.95
102,33.00,34.00
103,36.00,36.00
104,38.00,38.00
105,39.00,39.00
106,40.00,39.00
107,41.00,41.00
108,41.00,43.00
109,42.00,43.00
110,42.00,43.00
111,45.00,44.00
112,45.00,45.00
113,46.00,46.00
114,46.00,46.00
115,45.40,47.00
116,46.00,46.00
117,46.00,46.00
118,46.00,45.00
119,46.00,45.00
120,46.00,45.00
121,46.00,45.00
122,46.00,45.00
123,45.00,44.95
124,44.00,45.00
125,45.00,45.00
126,44.00,45.00
127,45.00,45.00
128,45.00,44.00
129,44.00,43.00
130,45.00,44.00
131,44.00,44.00
132,44.00,44.00
133,45.00,43.00
134,44.00,44.00
135,44.00,44.00
136,44.00,44.00
137,44.00,43.75
138,44.00,43.00
139,45.00,43.05
140,45.00,44.00
141,45.00,44.00
142,45.00,45.00
143,45.00,44.75
144,45.00,45.00
145,45.00,43.00
146,45.00,43.00
147,44.00,45.00
148,44.00,43.00
149,44.00,44.00
150,45.00,44.00
151,43.00,44.00
152,44.00,43.00
153,44.00,43.00
154,44.00,43.00
155,44.00,43.00
156,43.00,43.00
157,44.00,43.00
158,44.00,43.00
159,44.00,42.00
160,44.00,42.75
161,44.00,42.00
162,44.00,42.90
163,43.00,42.00
164,44.00,42.00
165,43.00,42.00
166,44.00,42.00
167,44.00,42.00
168,44.00,42.00
169,42.00,42.00
170,43.00,42.00
171,43.00,42.00
172,43.00,43.00
173,42.00,43.00
174,42.15,42.00
175,43.00,42.00
176,43.00,42.00
177,43.00,43.00
178,43.00,43.00
179,44.00,43.00
180,44.00,43.00
181,44.00,43.00
182,44.00,44.00
183,37.00,36.00
184,18.00,18.00
185,14.00,12.00
186,12.00,13.00
187,11.00,14.00
188,13.00,16.00
189,18.00,23.00
190,29.95,28.60
191,32.00,32.00
192,34.00,34.00
193,36.00,36.00
194,39.00,36.00
195,38.00,38.00
196,39.00,39.00
197,40.00,39.00
198,41.00,39.00
199,39.00,38.10
200,39.00,39.00
201,42.00,39.00
202,41.35,39.00
203,42.00,39.00
204,42.00,40.00
205,42.00,40.00
206,42.00,40.00
207,43.00,40.00
208,42.00,41.00
209,42.00,41.00
210,41.00,41.00
211,41.00,41.00
212,40.00,40.00
213,40.55,40.00
214,42.00,40.00
215,33.30,32.00
216,16.00,14.00
217,14.00,15.00
218,13.00,14.00
219,12.00,15.00
220,18.00,21.00
221,27.00,28.00
222,32.00,34.00
223,35.00,37.00
224,36.00,38.00
225,38.00,40.00
226,42.00,41.00
227,42.00,40.00
228,41.00,41.00
229,42.00,41.00
230,42.00,41.00
231,35.00,35.00
232,17.00,14.00
233,14.00,16.00
234,16.00,16.00
235,13.00,15.00
236,12.00,15.00
237,13.00,20.00
238,24.00,27.00
239,30.00,30.00
240,31.00,32.70
241,32.00,33.50
242,34.00,34.00
243,35.00,34.00
244,35.00,35.00
245,35.00,35.00
246,36.00,36.00
247,37.00,36.00
248,36.00,37.00
249,37.00,37.00
250,38.00,38.00
251,39.00,38.00
252,38.00,38.00
253,38.00,39.00
254,39.40,40.00
255,41.00,41.00
256,40.35,41.00
257,41.00,41.00
258,42.00,41.00
259,41.00,41.00
260,42.00,41.00
261,42.00,42.00
