frame,left_opening,right_opening
0,34.00,37.00
1,32.00,36.00
2,32.00,37.00
3,31.00,35.00
4,13.00,35.00
5,33.00,37.00
6,12.00,36.75
7,33.00,36.00
8,33.00,35.00
9,31.00,34.00
10,32.00,34.00
11,33.00,34.00
12,30.00,33.90
13,33.00,34.00
14,33.00,34.00
15,34.00,34.00
16,34.30,34.00
17,34.00,36.15
18,33.00,34.00
19,32.00,32.40
20,31.15,33.00
21,29.00,34.00
22,34.00,35.00
23,29.00,37.00
24,33.00,34.00
25,33.00,34.00
26,34.00,35.00
27,11.00,15.00
28,12.00,15.00
29,11.00,10.00
30,14.00,13.65
31,19.00,17.00
32,21.00,22.70
33,23.00,24.00
34,24.00,24.00
35,25.00,24.00
36,26.00,25.00
37,27.00,26.00
38,27.00,26.00
39,26.00,29.00
40,27.00,29.00
41,27.00,26.00
42,26.00,27.00
43,27.00,27.00
44,27.00,26.00
45,27.00,28.00
46,29.00,26.00
47,27.00,27.00
48,30.00,28.00
49,29.95,28.00
50,28.00,27.00
51,31.00,29.00
52,29.00,28.00
53,30.00,28.00
54,27.00,28.00
55,12.00,28.00
56,30.00,29.00
57,16.00,29.00
58,20.00,28.05
59,30.00,28.00
60,30.00,29.00
61,31.00,28.00
62,29.00,28.00
63,29.00,29.00
64,29.00,29.00
65,28.00,28.00
66,28.00,29.00
67,30.00,29.00
68,29.00,28.00
69,29.00,28.00
70,31.00,30.00
71,29.05,28.00
72,28.00,30.00
73,30.00,30.00
74,30.00,29.00
75,28.00,30.00
76,27.00,31.00
77,26.00,30.00
78,29.00,29.00
79,27.00,30.00
80,27.00,29.00
81,27.00,30.30
82,30.00,30.00
83,30.00,29.00
84,32.00,29.00
85,31.00,30.00
86,30.00,29.00
87,30.00,31.00
88,29.00,30.00
89,29.00,31.00
90,30.00,31.00
91,29.00,30.00
92,30.00,31.00
93,29.00,31.00
94,27.00,31.00
95,30.00,30.00
96,28.00,29.00
97,29.00,29.00
98,29.00,30.00
99,19.00,29.00
100,19.00,28.00
101,29.00,31.00
102,18.00,30.00
103,30.00,31.00
104,12.00,31.00
105,18.00,31.00
106,30.00,31.00
107,18.00,30.00
108,18.00,30.00
109,18.00,30.00
110,11.00,30.00
111,19.00,26.00
112,30.00,29.00
113,30.00,28.00
114,13.00,31.00
115,32.00,30.85
116,30.00,31.00
117,28.00,30.00
118,18.90,32.00
119,29.00,30.00
120,31.00,31.00
121,32.00,32.00
122,30.00,31.00
123,32.00,31.00
124,32.00,32.00
125,19.00,28.00
126,11.00,10.00
127,11.00,9.00
128,11.00,11.00
129,20.00,17.00
130,22.00,20.00
131,23.00,22.00
132,26.00,26.00
133,24.00,27.95
134,29.00,26.00
135,27.00,27.00
136,30.00,28.00
137,29.00,29.00
138,30.00,28.00
139,29.00,27.00
140,30.00,26.00
141,29.00,29.00
142,31.00,30.00
143,27.00,30.00
144,29.00,29.00
145,31.00,28.00
146,30.00,28.00
147,30.00,30.00
148,33.00,29.00
149,26.00,29.00
150,30.00,28.00
151,29.00,30.00
152,30.00,31.00
153,30.00,30.00
154,29.00,29.00
155,28.00,30.00
156,30.00,29.00
157,27.00,29.00
158,29.00,30.00
159,29.00,30.00
160,29.00,30.00
161,27.00,31.00
162,27.00,31.00
163,30.00,29.00
164,27.00,30.20
165,29.00,30.00
166,27.00,30.00
167,27.00,29.00
168,30.00,28.00
169,29.00,30.00
170,12.00,30.00
171,30.00,29.00
172,29.00,30.00
173,29.55,30.00
174,30.55,30.40
175,31.00,30.00
176,25.00,30.00
177,14.00,30.00
178,33.00,31.00
179,27.35,31.00
180,31.00,31.00
181,31.00,31.00
182,31.00,30.00
183,13.00,30.00
184,31.40,32.00
185,33.00,31.00
186,30.00,31.00
187,31.00,32.00
188,28.55,32.00
189,30.00,31.00
190,28.00,30.00
191,31.00,32.00
192,32.00,31.00
193,32.00,32.00
194,12.40,32.00
195,31.00,32.00
196,28.00,31.00
197,30.00,32.00
198,30.05,32.00
199,28.00,31.00
200,29.00,31.00
201,28.00,31.00
202,30.00,32.00
203,29.00,32.00
204,29.00,32.00
205,29.00,33.00
206,31.00,32.00
207,28.00,31.00
208,30.00,32.00
209,30.00,31.00
210,28.00,31.00
211,31.00,32.00
212,26.00,33.00
213,20.00,21.00
214,16.00,12.00
215,12.00,14.00
216,10.00,0.00
217,15.00,13.00
218,20.00,20.00
219,23.00,22.00
220,20.50,24.00
221,21.00,25.00
222,21.00,22.75
223,24.00,26.75
224,25.00,25.00
225,25.00,21.30
226,26.00,24.00
227,25.00,24.00
228,26.00,25.00
229,24.30,25.20
230,24.00,26.00
231,25.00,26.00
232,25.00,25.00
233,27.00,25.00
234,26.00,26.00
235,27.00,24.00
236,26.00,25.00
237,27.00,24.00
238,26.00,25.00
239,27.00,26.00
240,30.00,27.00
241,29.00,27.00
242,21.00,27.00
243,30.00,27.00
244,29.00,27.00
245,27.00,27.00
246,17.00,27.00
247,25.00,27.00
248,32.00,28.00
249,24.00,26.00
250,31.00,30.00
251,32.85,28.00
252,27.00,27.00
253,30.00,28.00
254,31.00,29.00
255,30.80,29.00
256,26.40,28.00
257,28.00,29.00
258,28.00,30.00
259,29.00,28.70
260,31.00,28.00
261,31.00,30.00
262,30.00,30.00
263,28.00,28.00
264,29.00,28.00
265,19.00,28.00
266,31.45,29.00
267,30.00,30.00
268,32.00,30.00
269,16.00,30.00
270,12.85,30.00
271,30.00,30.00
272,29.00,28.00
273,31.00,30.00
274,31.00,30.00
275,29.80,30.00
276,29.00,30.00
277,29.00,30.00
278,29.00,29.00
279,29.00,30.00
280,32.10,29.00
281,28.00,31.00
282,32.00,30.00
283,31.00,29.00
284,30.00,30.00
285,32.00,31.00
286,31.00,31.00
287,28.00,30.00
288,31.00,30.00
289,30.00,30.00
290,25.00,29.00
291,27.00,28.00
292,28.00,29.00
293,27.00,31.00
294,28.00,30.00
295,26.00,29.00
296,28.50,29.00
297,30.00,29.00
298,28.00,28.00
299,23.00,30.00
300,27.80,30.00
301,29.00,28.00
302,30.00,29.00
303,29.00,30.00
304,31.00,30.00
305,32.00,30.00
306,29.00,31.00
307,13.00,30.00
308,34.00,29.00
309,34.00,29.00
310,33.00,30.00
311,29.00,29.00
312,21.00,26.00
313,23.00,25.00
314,21.00,26.00
315,28.00,26.00
316,28.00,29.00
317,30.30,32.00
318,29.00,29.00
319,28.00,30.00
320,28.00,30.00
321,27.00,30.00
322,29.00,30.00
323,19.00,31.00
324,11.00,30.00
325,12.00,11.00
326,15.00,11.00
327,11.00,0.00
328,18.00,14.00
329,22.00,20.00
330,22.00,21.00
331,22.00,22.00
332,24.00,24.00
333,25.00,24.75
334,25.00,24.00
335,23.00,26.00
336,28.00,23.00
337,25.00,26.00
338,27.35,24.00
339,28.00,25.00
340,27.00,28.00
341,26.00,29.00
342,27.00,28.00
343,28.00,28.00
344,25.00,27.00
345,24.00,28.00
346,28.00,28.00
347,31.00,27.00
348,31.00,27.00
349,29.00,26.00
350,30.00,27.00
351,30.40,28.00
352,29.00,28.00
353,31.00,29.00
354,31.00,27.00
355,31.00,28.00
356,31.00,29.00
357,28.40,27.00
358,29.00,28.00
359,30.00,28.00
360,29.00,29.00
361,30.00,28.00
362,29.00,27.00
363,31.00,28.00
364,30.00,28.00
365,20.00,29.00
366,20.00,29.00
367,13.00,28.00
368,30.00,28.00
369,12.00,28.00
370,18.00,29.00
371,13.00,27.00
372,12.00,27.00
373,30.25,28.00
374,19.00,27.00
375,31.00,28.00
376,27.00,29.00
377,29.00,28.00
378,30.00,28.00
379,30.00,28.00
380,29.00,28.00
381,30.00,28.00
382,12.00,29.75
383,29.00,28.00
384,27.00,30.00
385,26.00,29.00
386,24.00,30.00
387,26.00,30.00
388,27.00,29.00
389,27.00,29.00
390,29.00,29.00
391,27.70,29.00
392,29.20,30.00
393,28.00,28.00
394,29.00,28.30
395,28.00,28.00
396,28.00,28.00
397,12.00,29.00
398,30.00,29.00
399,28.00,28.00
400,30.00,28.00
401,18.00,28.00
402,29.00,28.00
403,26.00,27.00
404,29.00,28.00
405,31.00,28.00
406,27.00,27.00
407,13.00,28.00
408,29.00,27.00
409,30.95,29.00
410,30.00,28.00
411,31.00,28.35
412,30.00,28.00
413,30.00,27.00
414,26.00,27.00
415,27.00,30.00
416,13.00,29.00
417,25.00,29.00
418,27.00,27.00
419,27.00,30.00
420,28.00,29.00
421,30.00,29.00
422,26.00,31.00
423,27.00,29.00
424,25.00,29.00
425,30.00,28.00
426,17.00,19.00
427,17.00,11.00
428,9.00,11.20
429,16.00,14.00
430,19.00,19.00
431,22.00,22.00
432,22.00,22.00
433,21.00,24.00
434,24.00,22.00
435,26.00,24.00
436,27.00,24.55
437,26.00,23.00
438,26.00,22.00
439,24.00,25.00
440,27.00,25.00
441,28.00,26.00
442,27.00,23.00
443,28.00,23.00
444,27.00,26.70
445,26.00,26.95
446,29.00,24.00
447,25.00,24.00
448,25.70,26.00
449,26.00,29.00
450,25.00,27.00
451,26.00,28.00
452,25.00,20.00
453,24.00,28.00
454,24.00,27.00
455,26.00,28.00
456,27.00,27.00
457,24.00,28.00
458,26.00,30.00
459,26.15,27.00
460,25.00,27.00
461,28.00,21.00
462,29.00,27.00
463,27.00,26.20
464,13.00,26.00
465,27.00,25.00
466,28.00,27.00
467,27.00,27.00
468,26.00,26.00
469,26.00,26.00
470,26.00,27.00
471,29.00,28.00
472,29.00,29.00
473,12.00,24.00
474,28.00,28.00
475,18.00,27.00
476,27.00,28.00
477,28.00,29.00
478,29.00,26.15
479,28.00,27.00
480,25.00,25.00
481,30.00,22.00
482,26.00,27.85
483,29.00,27.00
484,28.00,27.00
485,29.00,27.00
486,27.00,26.00
487,28.00,26.00
488,28.00,26.00
489,26.00,27.00
490,28.00,25.00
491,28.00,28.00
492,20.00,30.00
493,29.00,29.00
494,29.70,27.00
495,25.00,29.00
496,24.70,28.00
497,28.00,27.00
498,24.00,26.00
499,27.00,29.00
500,28.00,28.00
501,27.00,28.00
502,26.00,27.00
503,25.00,26.00
504,27.00,26.00
505,12.00,26.00
506,26.00,29.00
507,27.00,28.00
508,25.00,27.00
509,25.00,28.00
510,23.00,27.00
511,24.00,26.00
512,25.00,25.00
513,23.00,27.00
514,24.00,27.00
515,15.00,27.95
516,27.00,26.00
517,16.00,24.00
518,30.00,27.00
519,26.00,23.55
520,29.00,27.00
521,25.70,26.00
522,29.00,28.00
523,27.20,27.00
524,28.00,27.00
525,26.00,25.00
526,25.00,27.00
527,25.00,26.00
528,27.00,27.00
529,29.00,30.00
530,26.00,27.00
531,29.00,31.00
532,26.00,19.00
533,28.00,28.00
534,28.00,29.00
535,19.00,28.00
536,25.90,28.00
537,30.00,28.00
538,30.00,28.00
539,30.00,30.00
540,24.00,31.00
541,29.00,30.00
542,29.00,31.00
543,25.60,28.00
544,18.00,30.00
545,28.00,29.00
546,25.00,30.00
547,19.00,33.00
548,16.00,28.00
549,13.00,16.10
550,12.50,11.00
551,14.00,13.00
552,16.35,20.00
553,18.30,20.00
554,21.00,23.00
555,22.00,26.00
556,22.00,26.00
557,21.00,24.00
558,24.00,22.00
559,25.00,30.00
560,23.00,24.00
561,19.00,26.00
562,27.00,20.00
563,26.00,26.00
564,25.00,27.00
565,15.00,27.00
566,24.00,28.00
567,29.00,24.00
568,28.00,26.00
569,27.00,26.00
570,25.00,27.00
571,23.95,28.00
572,23.05,26.00
573,28.00,30.00
574,13.00,30.00
575,12.00,25.00
576,19.00,28.00
577,30.00,26.70
578,26.00,25.00
579,18.00,29.00
580,27.00,29.00
581,26.00,30.00
582,12.00,29.00
583,28.00,31.00
584,26.00,28.00
585,26.00,27.00
586,12.00,28.00
587,12.00,28.00
588,25.35,28.00
589,24.15,32.00
590,14.00,29.20
591,15.00,27.95
592,24.05,27.00
593,24.75,29.00
594,25.00,27.00
595,24.00,28.00
596,24.00,28.00
597,28.00,27.00
598,24.00,31.00
599,25.45,27.00
600,26.00,28.00
601,27.00,31.00
602,25.85,26.00
603,28.00,26.10
604,23.00,29.00
605,25.00,30.00
606,23.00,28.00
607,14.90,28.00
608,13.00,29.00
609,19.00,26.00
610,12.00,25.00
611,11.00,28.00
612,28.00,26.00
613,25.00,30.00
614,27.00,27.00
615,15.00,31.50
616,27.00,29.00
617,12.00,30.00
618,26.00,29.00
619,28.00,31.00
620,28.00,31.00
621,26.00,31.00
622,26.00,26.00
623,25.00,25.00
624,26.00,30.25
625,25.00,29.00
626,28.00,27.00
627,27.00,26.00
628,27.00,27.00
629,26.00,27.00
630,28.00,29.00
631,29.00,30.00
632,24.85,28.00
633,26.00,21.00
634,30.00,29.00
635,30.00,29.00
636,29.00,30.00
637,26.00,29.00
638,28.00,30.00
639,29.00,29.00
640,29.00,31.00
641,27.00,26.00
642,25.00,24.00
643,24.00,22.15
644,11.20,24.00
645,12.00,30.00
646,31.00,23.00
647,33.00,24.55
648,22.40,31.00
649,20.00,25.00
650,20.00,27.00
651,29.00,27.00
652,11.00,27.00
653,11.00,31.00
654,28.00,30.00
655,25.00,28.00
656,26.00,26.00
657,24.00,26.00
658,29.00,30.00
659,26.00,31.00
660,28.00,32.00
661,27.00,32.00
662,30.00,30.00
663,29.00,28.00
664,28.00,30.00
665,27.00,30.00
666,15.00,30.00
667,27.00,34.00
668,27.00,28.00
669,24.00,30.00
670,26.00,30.00
671,26.65,33.00
672,26.00,31.00
673,18.00,31.00
674,28.00,31.00
675,12.00,29.00
676,28.00,29.00
677,18.00,31.00
678,12.00,31.00
679,26.00,32.00
680,13.00,28.00
681,27.00,29.00
682,27.00,30.00
683,12.00,31.00
684,12.00,28.00
685,12.00,31.00
686,11.00,29.00
687,26.00,29.00
688,23.00,33.00
689,13.00,31.00
690,20.00,34.00
691,12.45,34.00
692,13.00,29.00
693,12.00,31.00
694,29.00,31.85
695,13.00,29.00
696,11.00,32.00
697,10.00,9.50
698,10.30,11.00
699,11.00,8.00
700,19.00,16.00
701,19.00,19.00
702,21.00,21.00
703,21.00,23.00
704,24.00,22.00
705,24.00,22.00
706,26.00,24.00
707,27.00,24.20
708,27.00,26.00
709,26.00,26.00
710,25.00,25.00
711,25.00,26.00
712,27.00,23.30
713,25.00,23.00
714,24.00,23.00
715,25.00,24.00
716,24.00,27.00
717,25.00,24.00
718,27.00,23.00
719,20.00,25.00
720,28.00,28.00
721,26.00,28.00
722,19.00,27.00
723,19.00,25.00
724,16.00,26.00
725,27.00,26.00
726,28.00,26.00
727,27.00,27.00
728,28.00,25.00
729,27.00,28.00
730,26.00,29.00
731,29.00,25.00
732,28.00,25.00
733,25.15,25.00
734,28.00,25.00
735,26.00,28.00
736,27.00,28.00
737,25.00,24.00
738,26.85,27.00
739,25.00,24.00
740,29.00,29.00
741,24.00,30.00
742,24.00,26.00
743,26.00,29.00
744,29.00,26.00
745,25.00,29.00
746,24.00,28.00
747,12.00,30.00
748,28.00,29.00
749,29.00,29.00
750,23.00,29.00
751,18.00,28.00
752,11.00,27.00
753,26.00,26.00
754,28.00,31.00
755,26.00,27.00
756,28.35,29.00
757,28.00,27.00
758,28.75,28.80
759,27.00,26.00
760,27.00,28.15
761,26.00,28.00
762,26.00,27.00
763,16.00,27.00
764,11.00,26.00
765,11.30,26.00
766,25.00,27.00
767,24.00,27.00
768,12.00,28.00
769,26.00,29.00
770,29.00,29.00
771,27.00,28.00
772,29.00,28.00
773,24.00,21.00
774,26.00,25.00
775,28.00,22.00
776,11.00,21.00
777,26.00,27.00
778,26.00,28.00
779,25.00,28.00
780,18.00,28.00
781,28.00,26.00
782,26.00,26.00
783,25.00,24.00
784,23.00,25.00
785,18.00,29.00
786,26.00,29.00
787,14.00,28.00
788,28.00,27.00
789,29.00,19.00
790,23.00,19.00
791,28.00,23.00
792,14.25,29.00
793,17.00,29.00
794,26.00,20.00
795,27.00,27.00
796,26.00,20.00
797,21.00,26.00
798,26.90,27.00
799,26.75,28.00
800,28.00,27.00
801,25.00,26.00
802,26.00,32.00
803,26.00,29.00
804,28.00,28.00
805,25.00,26.00
806,27.00,28.00
807,27.00,29.00
808,26.00,29.00
809,26.00,30.00
810,25.00,29.00
811,27.00,29.00
812,25.00,28.00
813,27.00,29.00
814,13.00,28.00
815,28.00,29.00
816,26.00,29.00
817,26.00,29.00
818,27.20,29.00
819,26.00,29.00
820,28.00,28.00
821,25.00,26.00
822,27.00,29.00
823,29.00,27.00
824,29.00,30.00
825,29.00,30.00
826,22.00,26.00
827,28.00,31.00
828,23.00,29.00
829,26.00,29.00
830,25.00,28.00
831,26.00,28.00
832,19.00,29.00
833,29.00,29.00
834,30.00,28.00
835,29.00,30.00
836,30.95,29.00
837,27.00,30.00
838,28.00,31.00
839,26.00,28.00
840,25.00,31.00
841,31.00,28.00
842,29.90,25.00
843,29.00,30.00
844,30.00,31.00
845,27.00,29.00
846,28.00,29.00
847,28.00,29.00
848,26.00,27.00
849,29.00,31.00
850,28.00,28.00
851,11.00,12.00
852,10.00,11.00
853,11.00,8.00
854,13.00,13.00
855,16.00,19.00
856,20.00,21.00
857,20.00,22.00
858,21.00,19.00
859,21.00,21.00
860,23.00,20.00
861,23.00,23.00
862,24.00,24.00
863,22.00,22.90
864,24.00,24.00
865,24.00,22.00
866,24.00,23.00
867,23.00,22.00
868,24.00,23.00
869,24.00,24.00
870,23.00,24.00
871,20.00,26.00
872,23.00,26.00
873,23.00,27.00
874,22.00,26.75
875,23.20,23.00
876,24.00,23.00
877,26.00,24.00
878,25.00,26.00
879,27.45,25.00
880,26.00,26.00
881,24.00,26.00
882,26.00,26.00
883,23.00,27.00
884,24.00,26.00
885,24.00,29.00
886,23.00,26.00
887,24.00,30.00
888,24.00,27.00
889,25.00,28.00
890,23.00,28.00
891,25.00,26.00
892,26.00,22.00
893,28.00,28.00
894,24.00,26.00
895,26.00,26.00
896,26.00,27.00
897,29.00,26.00
898,22.75,26.00
899,27.00,26.00
900,28.00,26.00
901,28.00,22.30
902,28.00,27.00
903,26.00,25.80
904,28.00,20.00
905,28.00,27.00
906,26.00,25.00
907,27.00,27.00
908,26.00,24.00
909,26.00,26.00
910,27.00,28.00
911,25.00,25.00
912,27.00,24.00
913,26.75,20.60
914,30.00,26.00
915,30.00,26.00
916,28.00,28.00
917,26.00,24.00
918,29.00,26.00
919,24.00,26.00
920,24.00,23.00
921,23.00,26.00
922,21.95,23.00
923,27.00,27.00
924,11.70,27.00
925,28.00,29.00
926,28.00,27.00
927,27.00,28.00
928,25.00,28.00
929,27.00,26.00
930,25.00,28.00
931,27.00,26.00
932,26.00,26.00
933,26.00,27.00
934,27.00,27.00
935,26.00,26.00
936,26.20,25.90
937,25.00,28.00
938,25.00,29.00
939,25.00,27.00
940,25.00,28.00
941,28.00,25.00
942,17.00,27.00
943,27.00,26.00
944,27.00,22.00
945,25.00,27.00
946,28.45,28.00
947,19.00,25.00
948,14.00,27.00
949,24.00,28.00
950,26.50,30.00
951,27.00,28.00
952,28.00,27.00
953,26.00,26.00
954,26.00,27.00
955,26.00,26.00
956,28.00,28.00
957,26.00,29.00
958,28.00,26.00
959,27.00,27.00
960,24.00,27.00
961,25.00,30.00
962,25.00,28.00
963,27.30,28.00
964,25.00,29.00
965,26.00,27.00
966,25.00,27.00
967,27.00,28.00
968,25.00,25.00
969,25.00,25.00
970,24.00,28.00
971,26.00,28.00
972,25.00,27.00
973,27.00,30.00
974,27.00,30.00
975,27.00,27.00
976,26.00,28.00
977,26.00,28.00
978,25.00,27.00
979,27.00,28.00
980,24.00,27.00
981,27.00,26.00
982,27.00,28.00
983,26.00,31.00
984,26.00,27.00
985,26.00,27.00
