frame,left_opening,right_opening
0,96.00,86.00
1,93.10,86.00
2,79.00,85.00
3,75.00,89.00
4,72.00,81.35
5,70.00,76.00
6,66.00,75.00
7,66.00,73.00
8,66.00,71.20
9,70.00,72.00
10,70.00,71.00
11,63.00,67.00
12,70.00,67.00
13,69.00,70.00
14,69.00,71.00
15,69.00,70.00
16,62.00,71.00
17,62.00,70.00
18,60.00,70.00
19,60.00,69.00
20,62.00,70.00
21,61.00,70.00
22,60.00,69.00
23,61.00,70.00
24,61.00,70.00
25,61.00,70.00
26,62.00,69.00
27,61.00,70.00
28,63.00,69.00
29,62.00,70.00
30,62.00,70.00
31,63.00,70.00
32,60.00,68.00
33,63.00,83.00
34,77.00,87.00
35,72.00,90.00
36,89.55,93.00
37,83.15,84.00
38,73.00,80.00
39,72.00,75.00
40,68.00,74.00
41,70.00,73.00
42,68.95,68.00
43,69.00,67.00
44,68.00,68.00
45,68.00,68.00
46,68.00,70.00
47,68.00,68.85
48,68.00,68.00
49,69.00,67.00
50,67.00,68.00
51,67.00,67.00
52,67.00,68.00
53,66.00,68.00
54,61.00,67.80
55,60.00,67.00
56,61.00,66.00
57,60.00,66.00
58,61.00,66.00
59,60.00,67.00
60,61.00,67.00
61,62.00,66.00
62,61.00,68.00
63,64.00,66.00
64,60.00,67.00
65,60.00,67.00
66,60.00,66.00
67,60.00,67.00
68,59.00,68.00
69,62.00,68.00
70,60.00,68.00
71,60.00,68.00
72,60.00,67.00
73,61.00,67.00
74,62.00,67.00
75,58.00,68.00
76,59.00,66.00
77,59.00,69.00
78,59.00,68.00
79,59.00,68.00
80,60.00,69.00
81,59.00,70.00
82,61.00,69.00
83,60.00,69.00
84,61.40,69.00
85,62.00,73.00
86,61.00,69.00
87,59.00,66.00
88,67.00,78.00
89,81.00,83.00
90,99.00,87.00
91,97.00,86.00
92,86.00,84.00
93,72.00,81.00
94,68.00,80.00
95,69.00,77.00
96,69.00,67.00
97,61.00,66.00
98,67.00,66.00
99,66.00,68.00
100,61.00,66.00
101,64.00,67.00
102,59.00,66.00
103,61.00,67.00
104,65.00,67.00
105,59.00,67.85
106,59.00,67.00
107,59.00,67.00
108,60.00,68.00
109,59.00,69.00
110,60.00,69.00
111,60.00,69.00
112,57.00,69.00
113,58.00,68.00
114,59.00,68.00
115,59.00,67.00
116,59.00,68.00
117,59.00,67.75
118,59.00,68.00
119,59.00,68.00
120,60.00,67.00
121,60.00,68.00
122,60.00,68.00
123,59.00,67.00
124,60.00,67.00
125,60.00,68.00
126,60.00,67.00
127,60.00,67.00
128,61.00,67.00
129,61.00,67.00
130,60.00,71.00
131,60.00,67.00
132,60.00,66.00
133,60.00,67.00
134,60.00,67.00
135,60.00,67.00
136,60.00,68.00
137,60.00,68.00
138,60.00,70.00
139,60.00,67.00
